camera_ID,hab_type,habitat_cover,trap_rate_hog,trap_rate_fox,bin_density_200m,bin_dens_200m,count_hog,count_fox,survey_effort
1,Human Structure,Open,0,0.299916623,7,0.095308231,0,6,20.00556
3,Hedgerows,Open,0.228438475,6.167838823,3,0.050985371,3,81,13.13263889
4,Human Structure,Closed,0,2.66723116,4,0.053064693,0,35,13.12222222
5,Hedgerows,Open,0.076238882,1.372299873,6,0.036421781,1,18,13.11666667
6,Amenity Grassland,Open,0.153036824,1.453849833,9,0.108437608,2,19,13.06875
7,Broadleaved Woodland,Closed,1.37689243,6.272509959,9,0.099724082,18,82,13.07291667
8,Human Structure,Open,1.305604352,0.652802176,3,0.019629669,16,8,12.25486111
9,Amenity Grassland,Open,0,0.307363927,8,0.097781208,0,1,3.253472222
10,Hedgerows,Open,0.162868292,3.827404852,9,0.068870661,2,47,12.27986111
11,Amenity Grassland,Open,1.531263292,0.689068482,5,0.033858416,20,9,13.06111111
12,Dense Scrub,Closed,0.380771061,1.446930033,3,0.025370661,5,19,13.13125
13,Broadleaved Woodland,Closed,0.609911054,2.592121982,11,0.09624003,8,34,13.11666667
14,Dense Scrub,Closed,3.219247351,2.836003619,15,0.161912389,42,37,13.04652778
16,Amenity Grassland,Open,0.151006711,0.453020134,4,0.030056447,2,6,13.24444444
17,Hedgerows,Open,0,3.999371169,5,0.094282315,0,53,13.25208333
18,Broadleaved Woodland,Closed,0.227368421,0.303157895,3,0.025230652,3,4,13.19444444
19,Dense Scrub,Closed,0.075447972,2.112543225,3,0.023320085,1,28,13.25416667
20,Hedgerows,Open,0.608043914,1.14008234,3,0.039287952,8,15,13.15694444
21,Amenity Grassland,Open,0.759053292,0.607242633,2,0.033834894,10,8,13.17430556
22,Amenity Grassland,Open,0.904419322,0.822199383,14,0.090948863,11,10,12.1625
23,Human Structure,Open,0,1.641025641,18,0.247114125,0,20,12.1875
24,Amenity Grassland,Open,0,1.479029957,14,0.129966372,0,18,12.17013889
25,Dense Scrub,Open,0,0.361137583,5,0.028362345,0,5,13.84513889
26,Dense Scrub,Closed,0,0,4,0.043972592,0,0,12.84722222
27,Broadleaved Woodland,Closed,0.28606193,1.072732239,2,0.028616081,8,30,27.96597222
28,Broadleaved Woodland,Closed,0,1.001283697,1,0.005211995,0,13,12.98333333
29,Hedgerows,Closed,0,0.57029703,2,0.010927041,0,8,14.02777778
30,Dense Scrub,Closed,0,3.514119229,4,0.029039474,0,49,13.94375
31,Broadleaved Woodland,Open,0.21497885,0.644936551,4,0.059655764,3,9,13.95486111
32,Hedgerows,Closed,0,0.481176209,3,0.019828617,0,3,6.234722222
33,Broadleaved Woodland,Closed,0.151284341,0.756421705,1,0.006467257,2,10,13.22013889
34,Tall Herbs,Open,0.039523522,0.474282264,1,0.009512706,1,12,25.30138889
35,Tall Herbs,Open,0,1.605351171,4,0.049641552,0,16,9.966666666
36,Amenity Grassland,Open,0,0.246673899,13,0.113034082,0,3,12.16180556
37,Human Structure,Open,0,1.56102014,7,0.076400271,0,19,12.17152778
38,Dense Scrub,Closed,0,0.507374037,1,0.005260661,0,7,13.79652778
39,Dense Scrub,Closed,0.214253831,0.428507663,6,0.052623691,3,6,14.00208333
40,Dense Scrub,Open,0.504757136,1.009514271,8,0.148266222,7,14,13.86805556
41,Broadleaved Woodland,Closed,0.230966638,0.846877673,5,0.059636753,3,11,12.98888889
42,Broadleaved Woodland,Closed,0.154134332,0.231201499,4,0.025327923,2,3,12.97569444
43,Broadleaved Woodland,Open,0.161979753,1.619797526,2,0.014421179,3,30,18.52083333
44,Dense Scrub,Open,0.07154213,0.286168521,1,0.013090142,1,4,13.97777778
45,Hedgerows,Open,0,0.214701059,2,0.02555163,0,3,13.97291667
46,Hedgerows,Closed,0,0.227009984,1,0.010108892,0,3,13.21527778
47,Amenity Grassland,Open,0,0.91052798,3,0.020063416,0,12,13.17916667
48,Amenity Grassland,Open,0,0.303717374,5,0.053897577,0,4,13.17013889
