group_id,speed,log_speed,bin_dens_200m,trap_rate_hog,hab_type
3,0.109661158,-2.210360051,0.050985371,0.228438475,Hedgerows
5,0.317241706,-1.148091316,0.036421781,0.076238882,Hedgerows
6,0.161185519,-1.825199283,0.108437608,0.153036824,Amenity Grassland
7,0.098286314,-2.319870488,0.099724082,1.37689243,Broadleaved Woodland
8,0.134173697,-2.008620073,0.019629669,1.305604352,Human Structure
11,0.197214812,-1.623461726,0.033858416,1.531263292,Amenity Grassland
12,0.100887955,-2.293744736,0.025370661,0.380771061,Dense Scrub
16,0.267400163,-1.319009005,0.030056447,0.151006711,Amenity Grassland
18,0.136153094,-1.993975334,0.025230652,0.227368421,Broadleaved Woodland
19,0.175715068,-1.738891528,0.023320085,0.075447972,Dense Scrub
20,0.082094433,-2.499885071,0.039287952,0.608043914,Hedgerows
21,0.308513351,-1.17599016,0.033834894,0.759053292,Amenity Grassland
33,0.14827712,-1.908672321,0.006467257,0.151284341,Broadleaved Woodland
39,0.058564545,-2.837625803,0.052623691,0.214253831,Dense Scrub
40,0.120707068,-2.114388595,0.148266222,0.504757136,Dense Scrub
41,0.285474977,-1.2536009,0.059636753,0.230966638,Broadleaved Woodland
42,0.368116908,-0.999354706,0.025327923,0.154134332,Broadleaved Woodland
43,0.17296979,-1.754638324,0.014421179,0.161979753,Broadleaved Woodland
49,0.260509287,-1.345116768,0.022146844,0.082299823,Human Structure
56,0.362381457,-1.015057873,0.037884414,0.358476475,Broadleaved Woodland
60,0.379566023,-0.968726724,0.034084694,0.155297924,Tall Herbs
65,0.237650873,-1.4369526,0.10957585,0.150943396,Broadleaved Woodland
84,0.28725382,-1.247389064,0.062685907,0.104879825,Tall Herbs
85,0.285342146,-1.254066306,0.005287459,0.70057841,Dense Scrub
87,0.385386313,-0.953509037,0.005287459,0.43299589,Broadleaved Woodland
111,0.084041781,-2.476441211,0,0.066491204,Broadleaved Woodland
126,0.156116275,-1.857154197,0.007661169,0.214137008,Hedgerows
129,0.381496487,-0.963653637,0.010749673,0.066012652,Broadleaved Woodland
135,0.223076857,-1.500238917,0.028795823,0.35663868,Amenity Grassland
136,0.048267679,-3.030993113,0.030218104,1.000645258,Dense Scrub
142,0.212062381,-1.550874799,0.050165986,0.602006689,Dense Scrub
143,0.146629362,-1.919847223,0.016848916,0.124567474,Hedgerows
145,0.233125395,-1.456178792,0.00872161,0.356718193,Dense Scrub
149,0.131180697,-2.03117954,0.014066835,0.038261239,Hedgerows
150,0.107587965,-2.229446491,0.010215646,0.111145415,Tall Herbs
